名称,大类,中类,地址,经度,纬度,省份,城市,区域,教育质量,消费场所,医疗健康,旅游资源,交通运输
阳光城大厦,商务住宅,写字楼,安浦路与怀德路交叉口东北40米,121.530014,31.252048,上海市,上海市,杨浦区,0.44964242043825753,0.1604857346085909,0.23684206653960144,0.2156678426704902,0.45066408050429557
八埭头滨江园(建设中),商务住宅,住宅区,杨树浦路633号,121.521958,31.252795,上海市,上海市,杨浦区,0.6570853700257377,0.1664656709230459,0.21734078061126796,0.21655830600116477,0.4617636967453424
新康里(通北路),商务住宅,住宅区,通北路与扬州路交叉口东120米,121.523833,31.253558,上海市,上海市,杨浦区,0.6676876705966254,0.17424058707316845,0.23207507282404682,0.22690029257105093,0.5686701783595192
龙江路2号,商务住宅,住宅区,[],121.52613,31.2538,上海市,上海市,杨浦区,0.6674250188389743,0.18669221824079862,0.297456922796562,0.23211699276434206,0.5676461972656949
上水小区,商务住宅,住宅区,杨树浦路373附近,121.529854,31.253206,上海市,上海市,杨浦区,0.6694615517861077,0.16958254507336018,0.3905776670338735,0.22645968746777184,0.5688249787325985
申泉小区,商务住宅,住宅区,怀德路201弄,121.528165,31.253574,上海市,上海市,杨浦区,0.6680812552322017,0.17387236272631632,0.38740887259523143,0.23085593410108954,0.5679071702106814
百忍坊小区,商务住宅,住宅区,通北路22弄2-8号,121.523634,31.253022,上海市,上海市,杨浦区,0.6686726060124901,0.16954822578264875,0.22588449340198732,0.22173710365076663,0.5453848581965425
南方水中心,商务住宅,住宅区,许昌路230号,121.525412,31.252991,上海市,上海市,杨浦区,0.6687041899854769,0.16973562715543328,0.23296103849726116,0.22384070450808252,0.5692978811930562
康翔商务楼,商务住宅,写字楼,杨树浦路622号,121.522192,31.252062,上海市,上海市,杨浦区,0.5316017558186007,0.16103483965874693,0.21263068096683052,0.2113164223754689,0.3637669139483626
平凉路街道社区睦邻中心,商务住宅,社区中心,龙江路2号,121.526171,31.253857,上海市,上海市,杨浦区,0.6673457745871885,0.20357767406415653,0.3129303887324183,0.23272579585965936,0.5675591258812857
许昌路277弄30号,商务住宅,其他,扬州路纺三小区(欧洲凯城园西南150米),121.524311,31.253845,上海市,上海市,杨浦区,0.6672630154908177,0.20275604493296995,0.2373157510821306,0.23035271817784234,0.5679801418367119
杨浦区平凉路街道龙江路睦邻小厨(龙江路店),商务住宅,社区中心,龙江路欧洲凯城园南侧,121.526437,31.254121,上海市,上海市,杨浦区,0.6670526698362621,0.27193615861678305,0.3842443210119892,0.23557408602575558,0.5671804057157988
许昌路227弄15号,商务住宅,住宅区,许昌路231附近,121.525101,31.253945,上海市,上海市,杨浦区,0.6671607816807,0.23359354543054814,0.24215367863670997,0.23241421236428764,0.5676074748333114
江浦路157弄小区,商务住宅,住宅区,江浦路157弄21-141号,121.530164,31.253891,上海市,上海市,杨浦区,0.6680651136720814,0.17525044112632435,0.5100803744822568,0.23297374559934955,0.567621616768016
许昌路277弄40号,商务住宅,其他,许昌路203号附近,121.524925,31.254073,上海市,上海市,杨浦区,0.6670235423656833,0.2668388083532256,0.25303503700305013,0.23343588930604428,0.5674890752338104
许昌路277弄44号,商务住宅,其他,纺三小区(许昌路南),121.525196,31.254207,上海市,上海市,杨浦区,0.6668978402112589,0.2975218770330394,0.3070234064805488,0.23513566255861199,0.5672418428193955
许昌路277弄60号,商务住宅,其他,纺三小区(许昌路西80米),121.524637,31.254156,上海市,上海市,杨浦区,0.6669233179623202,0.2862513717044536,0.24476521846735041,0.2338396302767159,0.5674375971243163
许昌路277弄213号,商务住宅,其他,纺三小区(许昌路西50米),121.524709,31.253413,上海市,上海市,杨浦区,0.6679089758322214,0.17317084515594677,0.23436593403614825,0.22686376332814168,0.5686408291004215
许昌路277弄14号,商务住宅,其他,许昌路205号附近,121.52516,31.253969,上海市,上海市,杨浦区,0.6671382544658745,0.24009563695550734,0.2514074752238608,0.23273125446779114,0.5675669747455858
许昌路277弄62号,商务住宅,其他,许昌路216号附近,121.52452,31.254081,上海市,上海市,杨浦区,0.667009480455071,0.2682231626089108,0.24093158909782753,0.2329538582502732,0.5675569815716175
许昌路277弄32号,商务住宅,其他,许昌路227弄-10号附近,121.524474,31.253919,上海市,上海市,杨浦区,0.66717495907143,0.225339290540268,0.2388772964825133,0.2313032977290883,0.5678440054172526
许昌路277弄104号,商务住宅,其他,纺三小区怀德路第一小学,121.525639,31.254037,上海市,上海市,杨浦区,0.6670908251720505,0.25646037092243407,0.30847919797914225,0.2339566313392875,0.5673994405183768
许昌路277弄216号,商务住宅,其他,扬州路纺三小区南门,121.52487,31.25321,上海市,上海市,杨浦区,0.66826831725015,0.17147286519645727,0.23292900992222373,0.22520487292426722,0.5690246467323412
