名称,大类,中类,地址,经度,纬度,省份,城市,区域,交通设施,休闲娱乐,购物消费,医疗保健,运动健身,科教文化,餐饮美食,旅游景点
明德里(松潘路),商务住宅,住宅区,松潘路120弄,121.541036,31.261728,上海市,上海市,杨浦区,0.5109995794826871,0.20987449021423962,0.526459261892011,0.5077448840819794,0.21419130597464,0.5634205389382284,0.42542458781619963,0.3510702509986447
里仁依,商务住宅,住宅区,临青路与杨树浦路交叉口西北40米,121.544929,31.262843,上海市,上海市,杨浦区,0.40949576770571317,0.20410904346162562,0.507192298123726,0.44193079788718226,0.19338484359808328,0.49998842722194325,0.36977015548272096,0.29024723747751796
存和里,商务住宅,住宅区,杨树浦路1761弄,121.54137,31.259259,上海市,上海市,杨浦区,0.4254768913367229,0.160417545265037,0.3962614776203834,0.4288548784467098,0.15722667269042248,0.46700853066522463,0.32904833803625366,0.27688125684958537
杨树浦路1991弄75号,商务住宅,住宅区,杨树浦路1979-1981号附近,121.543921,31.262153,上海市,上海市,杨浦区,0.42583635521618024,0.1992296932354095,0.4942156572899281,0.45178788052489305,0.19109103603189256,0.5035972885803692,0.37321163929102963,0.29590509720365205
纺三小区,商务住宅,住宅区,许昌路227弄1-216号,121.524773,31.254105,上海市,上海市,杨浦区,0.4513883910086134,0.12512720350843412,0.31412755230426703,0.30063697203840195,0.17805112426491992,0.4709497433986535,0.21666622516162157,0.27119635733545616
滨江国际广场,商务住宅,写字楼,杨树浦路1056-1058号,121.530484,31.25136,上海市,上海市,杨浦区,0.32333619378540335,0.07790151400620131,0.19979726948526702,0.2568685447400214,0.08802810581192279,0.3048097332478528,0.1601272634938768,0.1825742797537482
百恩坊小区,商务住宅,住宅区,通北路与杨树浦路交叉口北40米,121.523544,31.252819,上海市,上海市,杨浦区,0.38123800888209963,0.10742260432435624,0.26160996605027403,0.2367034340289744,0.1556250925101718,0.40762696181303576,0.17328222806011032,0.22269746272006838
阳光城大厦,商务住宅,写字楼,安浦路与怀德路交叉口东北40米,121.530014,31.252048,上海市,上海市,杨浦区,0.35819395228492307,0.08877220921147234,0.22584695560409232,0.28226669152205447,0.10431884770212707,0.34170482866932583,0.1793522885067495,0.20695314039329216
八埭头滨江园(建设中),商务住宅,住宅区,杨树浦路633号,121.521958,31.252795,上海市,上海市,杨浦区,0.3618596548565126,0.10462025819175547,0.2553061856713719,0.2133551184964378,0.15865002458779565,0.3968546758710521,0.16168680235426994,0.21035193655576298
新康里(通北路),商务住宅,住宅区,通北路与扬州路交叉口东120米,121.523833,31.253558,上海市,上海市,杨浦区,0.41776764010344836,0.11751870318083762,0.29134405556996534,0.2662292143964343,0.17082814592132192,0.44415822534213073,0.19526531287056378,0.24825458535700218
龙江路2号,商务住宅,住宅区,[],121.52613,31.2538,上海市,上海市,杨浦区,0.44521583964738953,0.12051681851198787,0.3013186521282445,0.3095091502647304,0.16370909325574767,0.4531449134894865,0.21598991915215526,0.26637105266440014
上水小区,商务住宅,住宅区,杨树浦路373附近,121.529854,31.253206,上海市,上海市,杨浦区,0.41436873072501296,0.10646936711592817,0.2699137886679529,0.3278940644877708,0.12803326352407252,0.4006996063419221,0.2142739442194276,0.24668927597782003
申泉小区,商务住宅,住宅区,怀德路201弄,121.528165,31.253574,上海市,上海市,杨浦区,0.43803218299523017,0.11532384155053574,0.2896221120926181,0.32720296780670594,0.14603057972127803,0.43248795210021224,0.21974267355935345,0.2619965955871051
百忍坊小区,商务住宅,住宅区,通北路22弄2-8号,121.523634,31.253022,上海市,上海市,杨浦区,0.39130701492505343,0.11023107880818475,0.2697614096059453,0.2446843958919036,0.15975515890592137,0.4177134002836567,0.17932788977541136,0.2297421839859922
南方水中心,商务住宅,住宅区,许昌路230号,121.525412,31.252991,上海市,上海市,杨浦区,0.40342830586227774,0.10989743220042973,0.270656826368586,0.2691836753188499,0.1513347608738712,0.4170104929698351,0.18914311376906667,0.23737697083074613
康翔商务楼,商务住宅,写字楼,杨树浦路622号,121.522192,31.252062,上海市,上海市,杨浦区,0.33277934280606747,0.0951106339694264,0.22858763042162714,0.19503914196787114,0.14191933616743624,0.36314766406124466,0.14489266794874886,0.1897623983635396
平凉路街道社区睦邻中心,商务住宅,社区中心,龙江路2号,121.526171,31.253857,上海市,上海市,杨浦区,0.4481293218591558,0.12128635365679614,0.30352317929128825,0.3123308418595368,0.16462490157801746,0.45579678108332483,0.21788579299778504,0.26840427491362306
许昌路277弄30号,商务住宅,其他,扬州路纺三小区(欧洲凯城园西南150米),121.524311,31.253845,上海市,上海市,杨浦区,0.4354039149840123,0.12155174750549691,0.3034134104703878,0.28379723057901735,0.17490527795042415,0.458602858096113,0.2063731065969154,0.26029939089513343
杨浦区平凉路街道龙江路睦邻小厨(龙江路店),商务住宅,社区中心,龙江路欧洲凯城园南侧,121.526437,31.254121,上海市,上海市,杨浦区,0.4619225339568756,0.12487300018800883,0.3137048571952387,0.32651867272318374,0.16842404730355476,0.4678778675121294,0.22717491153428607,0.2780436299414388
许昌路227弄15号,商务住宅,住宅区,许昌路231附近,121.525101,31.253945,上海市,上海市,杨浦区,0.44620958432180574,0.12290343970915589,0.3076886633227967,0.2997193061431245,0.17281040131508804,0.46282931674589095,0.21407912834010737,0.26736987597170564
江浦路157弄小区,商务住宅,住宅区,江浦路157弄21-141号,121.530164,31.253891,上海市,上海市,杨浦区,0.4458459490732782,0.11656936379470789,0.2959789331598785,0.3573426067444074,0.13979306517943865,0.4328071003804169,0.2368267252782616,0.26922853305290334
许昌路277弄40号,商务住宅,其他,许昌路203号附近,121.524925,31.254073,上海市,上海市,杨浦区,0.4510258956112623,0.12468318460291104,0.3128504202356894,0.3018289584523484,0.17652132723515299,0.4692535723897119,0.21668695498165846,0.2708430922853874
